address,Town,State,isHostedBySuperhost,location/lat,location/lng,name,numberOfGuests,pricing/rate/amount,roomType,stars
"Manali, Himachal Pradesh, India",Manali," Himachal Pradesh, India",0,32.22,77.18,Highq Manali / Deluxe Room,3,8946,Room In Hotel,
"Manali, Himachal Pradesh, India",Manali," Himachal Pradesh, India",0,32.22,77.18,Highq Manali / 3 Bhk Cottage,9,9124,Room In Hotel,
"Goa, India",Goa, India,0,15.50,73.87,Best View Of The River From Your Terrace 04,4,9900,Private Room In Home,4.00
"Bhuntar, Himachal Pradesh, India",Bhuntar," Himachal Pradesh, India",0,31.89,77.14,Shabashe,1,8684,Shared Room In Rental Unit,
"Jaipur, Rajasthan, India",Jaipur," Rajasthan, India",0,26.86,75.67,Luxurious Independent Studio With Wifi & Kitchen,1,20690,Entire Condo,4.75
"Bhuntar, Himachal Pradesh, India",Bhuntar," Himachal Pradesh, India",0,32.01,77.29,Aman Palace Guest House Kasol With Super Deluxe Room,3,4274,Room In Hotel,
"Bhuntar, Himachal Pradesh, India",Bhuntar," Himachal Pradesh, India",0,32.01,77.29,Aman Palace Guest House Kasol With Deluxe Room,2,4274,Room In Hotel,
"Gurugram, Haryana, India",Gurugram," Haryana, India",1,28.37,77.01,Boutique Destination Wedding Experience 50pax Pkg,16,1734,Farm Stay,
"Ganaheda, Rajasthan, India",Ganaheda," Rajasthan, India",0,26.49,74.54,Lux Farm Resort With Pool - Villa,12,1804,Farm Stay,
"Banjar, Himachal Pradesh, India",Banjar," Himachal Pradesh, India",0,31.64,77.35,Deluxe Room,3,2822,Room In Hotel,
"Morjim, Goa, India",Morjim," Goa, India",0,15.63,73.73,"Vedatmana By The Waves, Morjim",12,902,Entire Villa,
"Gurugram, Haryana, India",Gurugram," Haryana, India",0,28.36,77.00,Marriage Or Party Full Resort For 30 Persons,16,1443,Farm Stay,
"Awas, Maharashtra, India",Awas," Maharashtra, India",0,18.77,72.88,Stayvista - Pranaam - 6bhk Luxury Alibaug,15,912,Entire Villa,
"Bengaluru, Karnataka, India",Bengaluru," Karnataka, India",0,13.13,77.56,Luxury Poolside Heritage Villa In Lap Of Nature,16,882,Private Room In Resort,
"Sangolda, Goa, India",Sangolda," Goa, India",0,15.55,73.81,12 Br Mansion | Big Groups | Private Pool | Scenic,16,1374,Entire Villa,
"Rishikesh, Uttarakhand, India",Rishikesh," Uttarakhand, India",0,30.14,78.31,An Extravagant Pushp Villa Overlooking The Ganges,8,788,Entire Villa,
"Parra, Goa, India",Parra," Goa, India",1,15.57,73.78,Perfect For Big Groups! 8br Villa W Pool In Parra,16,978,Entire Villa,
"New Delhi, Delhi, India",New Delhi," Delhi, India",0,28.50,77.17,Brookwood Gardens Wedding Guest Rooms,16,962,Farm Stay,
"Aru, India",Aru, India,0,34.09,75.26,Pahalgham Cottage Next To The River,10,782,Entire Cottage,
"North Goa, Goa, India",North Goa," Goa, India",0,15.56,73.79,Crystal Village 10 Bedroom Pvt Pool Villa Nagoa,16,854,Entire Home,
